event,key,timestamp,label
keydown,r,1753192264.89978,bot
keyup,r,1753192264.8999064,bot
keydown,l,1753192265.1023648,bot
keyup,l,1753192265.1024876,bot
keydown,d,1753192265.3050375,bot
keyup,d,1753192265.3052151,bot
keydown,Key.space,1753192265.5075765,bot
keyup,Key.space,1753192265.5077486,bot
keydown,h,1753192265.7103207,bot
keyup,h,1753192265.7110171,bot
keydown,e,1753192265.9136314,bot
keyup,e,1753192265.9138258,bot
keydown,l,1753192266.1161027,bot
keyup,l,1753192266.1162393,bot
keydown,l,1753192266.318691,bot
keyup,l,1753192266.3189113,bot
keydown,o,1753192266.521489,bot
keyup,o,1753192266.5216992,bot
keydown,Key.space,1753192266.7242856,bot
keyup,Key.space,1753192266.724457,bot
keydown,w,1753192266.9269729,bot
keyup,w,1753192266.9271498,bot
keydown,o,1753192267.1296375,bot
keyup,o,1753192267.1298637,bot
keydown,r,1753192267.3323767,bot
keyup,r,1753192267.3324952,bot
keydown,l,1753192267.5350754,bot
keyup,l,1753192267.5355825,bot
keydown,d,1753192267.738087,bot
keyup,d,1753192267.7382061,bot
keydown,Key.space,1753192267.9407587,bot
keyup,Key.space,1753192267.9408731,bot
keydown,h,1753192268.1433773,bot
keyup,h,1753192268.1435106,bot
keydown,e,1753192268.3460276,bot
keyup,e,1753192268.346161,bot
keydown,l,1753192268.548749,bot
keyup,l,1753192268.5489764,bot
keydown,l,1753192268.7515028,bot
keyup,l,1753192268.7516997,bot
keydown,o,1753192268.9544156,bot
keyup,o,1753192268.954622,bot
keydown,Key.space,1753192269.157139,bot
keyup,Key.space,1753192269.1573026,bot
keydown,w,1753192269.3597991,bot
keyup,w,1753192269.3602428,bot
keydown,o,1753192269.5624843,bot
keyup,o,1753192269.5629632,bot
keydown,r,1753192269.7655725,bot
keyup,r,1753192269.7657835,bot
keydown,l,1753192269.9682877,bot
keyup,l,1753192269.968468,bot
keydown,d,1753192270.1708379,bot
keyup,d,1753192270.1709678,bot
keydown,Key.space,1753192270.3732777,bot
keyup,Key.space,1753192270.3737624,bot
keydown,h,1753192270.5763683,bot
keyup,h,1753192270.5765173,bot
keydown,e,1753192270.7790794,bot
keyup,e,1753192270.779722,bot
keydown,l,1753192270.9821289,bot
keyup,l,1753192270.9823093,bot
keydown,l,1753192271.1849065,bot
keyup,l,1753192271.185016,bot
keydown,o,1753192271.387582,bot
keyup,o,1753192271.3880732,bot
keydown,Key.space,1753192271.5907245,bot
keyup,Key.space,1753192271.5913322,bot
keydown,w,1753192271.793767,bot
keyup,w,1753192271.7938964,bot
keydown,o,1753192271.9964185,bot
keyup,o,1753192271.9966867,bot
keydown,r,1753192272.1989806,bot
keyup,r,1753192272.1991615,bot
keydown,l,1753192272.4015033,bot
keyup,l,1753192272.4017172,bot
keydown,d,1753192272.6041942,bot
keyup,d,1753192272.6043737,bot
keydown,Key.space,1753192272.806735,bot
keyup,Key.space,1753192272.806971,bot
keydown,h,1753192273.0095084,bot
keyup,h,1753192273.009732,bot
keydown,e,1753192273.211957,bot
keyup,e,1753192273.2121072,bot
keydown,l,1753192273.4146366,bot
keyup,l,1753192273.4148493,bot
keydown,l,1753192273.6172833,bot
keyup,l,1753192273.6174347,bot
keydown,o,1753192273.8200283,bot
keyup,o,1753192273.8201349,bot
keydown,Key.space,1753192274.0227256,bot
keyup,Key.space,1753192274.0232465,bot
keydown,w,1753192274.2257304,bot
keyup,w,1753192274.2258365,bot
keydown,o,1753192274.4284174,bot
keyup,o,1753192274.4285712,bot
keydown,r,1753192274.6310055,bot
keyup,r,1753192274.6313272,bot
keydown,l,1753192274.833646,bot
keyup,l,1753192274.83381,bot
keydown,d,1753192275.0363996,bot
keyup,d,1753192275.0369744,bot
keydown,Key.space,1753192275.2393572,bot
keyup,Key.space,1753192275.2395768,bot
